1434672921.54 	Pcd: Ya se lo que va poner ahí 	3
1434672924.54 	Participante: Ya sabe	2
1434672925.54 	Yo ya sabía que iba a poner  dedo	2
1434672927.54 	Participante: ¿Así?	2
1434672927.54 	Pcd: Sí	2
1434672928.54 	Participante: A ver, voy hacer  otro	2
1434672931.54 	Participante: Mmmmm lo va hacer usted, ya hice una, sigue usted	2
1434672938.54 	Pcd: Noooo, fíjese me duele la cabeza	2
1434672941.54 	Participante: Pero (Incomprensible)	2
1434672942.54 	Pcd: Y ya ahorita me dieron medecina pero no me sirvió	2
1434672946.54 	Participante: Aa, a lo mejor ahorita le hace efecto (incomprensible), las palabras	-
1434672968.54 	Pcd:  Oye, oye!	-
1434672971.54 	Participante: (Incomprensible)	-
1434672972.54 	 Pcd: Noooo	-
1434672973.54 	Participante: ¿Un pájaro?	-
1434672974.54 	Pcd: Un gallo cantar	-
1434672976.54 	Participante:Aaaaa	-
1434672976.54 	Pcd:  ¿Qué está sordo?	-
1434672978.54 	Participante: (Se admira, suspira¿¿?¿¿) ya me dió miedo	-
1434672980.54 	Pcd: Eeeee	-
1434672982.54 	Participante:Pues a lo mejor sí	-
1434672983.54 	Pcd: No porque  yo si oigo	-
1434672985.54 	Pcd:  Un gallo cantar, el galllo si sabe que debe de cantar, uste no canta	-
1434672993.54 	Participante:Incomprensible	-
1434672993.54 	Pcd: A ver cante una canción ahí sentado porque si se para se enoja	-
1434672997.54 	Participante: Pero primero luego haga una 	1
1434672998.54 	Ayyyy no	1
1434672999.54 	Participante:(Incomprensible)	1
1434673000.54 	Pcd:  Ya debe cantar ahí  una canción 	1
1434673003.54 	Participante: No ha hecho más 	1
1434673005.54 	Participante:Incomprensible	1
1434673005.54 	Pcd: Quedito, quedito, que yo oiga	1
1434673008.54 	Participante:Híjole	1
1434673012.54 	Pcd: Ya hice 2, 3,4,5,6 ¿Mamá dónde estas?, ven por mi	3
1434673019.54 	Participante:  A ver 	3
1434673019.54 	Pcd: Porque no quiero jugar étas cartas 	1
1434673021.54 	Participante:Risa	11
1434673022.54 	Pcd: Nooo, no quiero jugar 	1
1434673023.54 	Participante:  Vamos a poner estas cosas para que no se ma valla a poner 	1
1434673026.54 	Pcd: Noo, eso no está completo	1
