1432166098.268,64.0,11.0,12.0
1432166098.299,62.0,8.0,11.0
1432166098.33,61.0,11.0,10.0
1432166098.362,59.0,13.0,9.0
1432166098.393,59.0,14.0,7.0
1432166098.424,60.0,15.0,7.0
1432166098.455,61.0,14.0,7.0
1432166098.487,60.0,13.0,6.0
1432166098.518,59.0,14.0,6.0
1432166098.549,60.0,14.0,6.0
1432166098.58,62.0,13.0,5.0
1432166098.612,61.0,12.0,5.0
1432166098.643,61.0,12.0,6.0
1432166098.674,60.0,13.0,6.0
1432166098.705,59.0,12.0,7.0
1432166098.737,59.0,13.0,9.0
1432166098.768,60.0,13.0,10.0
1432166098.799,59.0,12.0,10.0
1432166098.83,59.0,12.0,11.0
1432166098.862,64.0,18.0,16.0
1432166098.893,70.0,31.0,23.0
1432166098.924,77.0,50.0,33.0
1432166098.955,82.0,65.0,39.0
1432166098.987,86.0,50.0,37.0
1432166099.018,76.0,34.0,40.0
1432166099.049,65.0,28.0,40.0
1432166099.08,57.0,27.0,46.0
1432166099.112,48.0,26.0,46.0
1432166099.143,36.0,34.0,31.0
1432166099.174,14.0,24.0,7.0
1432166099.205,-1.0,10.0,-21.0
1432166099.237,-4.0,26.0,-27.0
1432166099.268,-6.0,49.0,2.0
1432166099.299,-2.0,32.0,16.0
1432166099.33,13.0,12.0,32.0
1432166099.362,15.0,13.0,48.0
1432166099.393,17.0,31.0,45.0
1432166099.424,16.0,23.0,13.0
1432166099.455,31.0,42.0,32.0
1432166099.487,56.0,34.0,71.0
1432166099.518,64.0,43.0,96.0
1432166099.549,60.0,24.0,104.0
1432166099.58,41.0,21.0,66.0
1432166099.612,25.0,59.0,21.0
1432166099.643,-2.0,59.0,-3.0
1432166099.674,2.0,51.0,36.0
1432166099.705,25.0,51.0,51.0
1432166099.737,41.0,40.0,64.0
1432166099.768,32.0,21.0,56.0
1432166099.799,29.0,6.0,42.0
1432166099.83,40.0,71.0,29.0
1432166099.862,22.0,26.0,34.0
1432166099.893,25.0,37.0,62.0
1432166099.924,32.0,32.0,62.0
1432166099.955,28.0,25.0,61.0
1432166099.987,22.0,27.0,50.0
1432166100.018,28.0,43.0,38.0
1432166100.049,36.0,28.0,58.0
1432166100.08,33.0,23.0,57.0
1432166100.112,29.0,30.0,46.0
1432166100.143,26.0,34.0,49.0
1432166100.174,24.0,36.0,48.0
1432166100.205,21.0,33.0,48.0
1432166100.237,19.0,30.0,44.0
1432166100.268,18.0,30.0,40.0
1432166100.299,27.0,30.0,41.0
1432166100.33,29.0,37.0,47.0
1432166100.362,29.0,33.0,55.0
1432166100.393,24.0,26.0,50.0
1432166100.424,23.0,27.0,48.0
1432166100.455,23.0,29.0,50.0
1432166100.487,23.0,31.0,51.0
1432166100.518,24.0,35.0,47.0
1432166100.549,24.0,37.0,51.0
1432166100.58,24.0,37.0,50.0
1432166100.612,24.0,36.0,50.0
1432166100.643,24.0,28.0,52.0
1432166100.674,23.0,31.0,50.0
1432166100.705,23.0,35.0,51.0
1432166100.737,30.0,37.0,45.0
1432166100.768,34.0,31.0,38.0
1432166100.799,37.0,41.0,48.0
