#0:00:01.5#Pcd: No sabe bailar	
#0:05:12.8#Pcd: Porque yo quiero mis perros 	1
#0:05:14.5#Participante: A bueno	1
#0:05:15.8#Participante: Ahora otra 	1
#0:05:19.3#Pcd: Otra nooo, pos ya no se cual 	1
#0:05:21.7#Participante: Pues ahorita le inventa, a ver cual se le ocurre	1
#0:05:33.0#Pcd: A mí me duele la cabeza, ¿Y a uste?	2
#0:05:36.4#Participante: Pues a mí no 	2
#0:05:38.3# Pcd: Se ve cara de enfermo	2
#0:05:39.7#Pcd: Uste está enfermo	2
#0:05:41.5# Participante:Nooo,	2
#0:05:42.4#Pcd: Sí	2
#0:05:43.6# Participante no que yo sepa	2
#0:05:44.5# Pcd: Sí, sí porque uste está enfermo	2
#0:05:46.8#Pcd:  No sabe escribir, de que le sirve es, estar en la escuela	2
#0:05:52.9#Participante Mmmmm	2
#0:05:58.1#Pcd:  A ver	2
#0:06:01.6#Pcd: Dígame de que le sirve , yo, yo si aprtendí bastante en la escuela	2
#0:06:06.7#Participante ¿Así?	2
#0:06:07.1#Pcd: Sí	2
#0:06:12.8#Pcd:Y uste no sabe mire, me deja que haga todo yo	1
#0:06:17.5#Participante  Pues es pa jugar 	1
#0:06:19.3#Pcd: Pero pues uste debe hacer una 	1
#0:06:22.5#Participante: Síii	1
#0:06:23.0#Pcd: Noooo, no quiero irme ya, yo ya me voy	3
#0:06:26.4#Participante: Pero todavía quedan muchas de éstas para hacer más palabras	3
#0:06:29.3#Pcd:  No pero yo ya no quiero hacer tantas 	3
#0:06:31.6#Pcd:  Ya hice tres 	3
#0:06:33.2#Participante Aaaaaa	3
#0:06:33.6#Pcd: Mire el, el otro muchacho si me entendía	3
#0:06:38.2# Pcd: Uste no me entiende 	3
#0:06:40.1#Participante Noo, ¿Por qué no?	3
#0:06:41.2#Pcd: Porque no quiere ser uste, nomás quiere que yo haga 	3
#0:06:44.5#Participante: A bueno a ver vamos hecer otra... vamosa ver (incomprensible)	3
#0:06:56.0#Pcd: Ya se lo que va poner ahí 	3
#0:06:59.5#Participante: Ya sabe	2
#0:07:00.0#Yo ya sabía que iba a poner  dedo	2
#0:07:02.4#Participante: ¿Así?	2
#0:07:02.8#Pcd: Sí	2
#0:07:03.3#Participante: A ver, voy hacer  otro	2
#0:07:06.9#Participante: Mmmmm lo va hacer usted, ya hice una, sigue usted	2
#0:07:13.2#Pcd: Noooo, fíjese me duele la cabeza	2
#0:07:16.8#Participante: Pero (Incomprensible)	2
#0:07:17.4#Pcd: Y ya ahorita me dieron medecina pero no me sirvió	2
#0:07:21.2#Participante: Aa, a lo mejor ahorita le hace efecto (incomprensible), las palabras	-
#0:07:43.2#Pcd:  Oye, oye!	-
#0:07:46.4#Participante: (Incomprensible)	-
#0:07:47.2# Pcd: Noooo	-
#0:07:48.7#Participante: ¿Un pájaro?	-
#0:07:49.4#Pcd: Un gallo cantar	-
#0:07:51.2#Participante:Aaaaa	-
#0:07:51.7#Pcd:  ¿Qué está sordo?	-
#0:07:53.0#Participante: (Se admira, suspira¿¿?¿¿) ya me dió miedo	-
#0:07:55.1#Pcd: Eeeee	-
#0:07:57.1#Participante:Pues a lo mejor sí	-
#0:07:58.6#Pcd: No porque  yo si oigo	-
#0:08:00.9#Pcd:  Un gallo cantar, el galllo si sabe que debe de cantar, uste no canta	-
#0:08:08.6#Participante:Incomprensible	-
#0:08:08.6#Pcd: A ver cante una canción ahí sentado porque si se para se enoja	-
#0:08:12.2#Participante: Pero primero luego haga una 	1
#0:08:13.8#Ayyyy no	1
#0:08:14.7#Participante:(Incomprensible)	1
#0:08:15.5#Pcd:  Ya debe cantar ahí  una canción 	1
#0:08:18.3#Participante: No ha hecho más 	1
#0:08:20.1#Participante:Incomprensible	1
#0:08:20.2#Pcd: Quedito, quedito, que yo oiga	1
#0:08:23.1#Participante:Híjole	1
#0:08:27.4#Pcd: Ya hice 2, 3,4,5,6 ¿Mamá dónde estas?, ven por mi	3
#0:08:34.1#Participante:  A ver 	3
#0:08:34.4#Pcd: Porque no quiero jugar étas cartas 	1
#0:08:36.2#Participante:Risa	11
#0:08:37.8#Pcd: Nooo, no quiero jugar 	1
#0:08:38.4#Participante:  Vamos a poner estas cosas para que no se ma valla a poner 	1
#0:08:41.4#Pcd: Noo, eso no está completo	1
#0:08:43.7#Pcd: Eso apenas  lo iba a completar y 	1
#0:08:45.5#Participante: ¿Así?	1
#0:08:46.0#Pcd: Uste lo lleva	1
#0:08:46.8#Participante: Yo pensé que había escrtio ropa	1
#0:08:49.8#Pcd: ¿Ropa?, a pos noooo, no dice ropa	1
#0:08:54.6#Participante: ¿Noo?	1
#0:08:55.4#Pcd: Nooooo	1
#0:08:58.6#Participante:  Ahora sí i, aaa noo, pos sí	1
#0:09:02.6#Pcd: Ropa, ¿Cómo se le ocurrió  porque yo no había escrito eso?	1
#0:09:06.4#Participante:  (Risa) Aaaa yo pense tambén que usted había escrito eso (Incomprensible)	1
#0:09:10.3#Pcd: Noo, no quiero	1
#0:09:11.7#Participante:  Me imaginé	1
#0:09:13.3#Pcd: No quiero, quiero que cante ya, a ver	1
#0:09:16.9#Participante:¿Cuál quiere que cante?	1
#0:09:20.7#Pcd:Una canción que me enseñó el muchacho éste, ¿Cómo se llama?, ¿Cómo se llama la canción?	1
#0:09:27.2#Participante: ¿Qué canción?, a mí me enseñaron un juego que se llama hacer palabras	1
#0:09:32.8#Pcd: Noo, pero las palabras que chiste tienen	1
#0:09:35.8#Participante:  Pues dicen cosas	1
#0:09:37.0#Pcd: Nooo, no dicen nada	1
#0:09:38.4#Participante:  Como algo de canciones	1
#0:09:45.2#Nooo, ¿tiene novia?	2
#0:09:48.0#Participante: Noooooooo	2
#0:09:48.7#¿Y por qué no tiene novia?	2
#0:09:50.9#Participante: Porque...	2
#0:09:51.9#Pcd: Ya está  viejo	2
#0:09:52.3#Participante:  Se cambió de casa (risa)	2
#0:09:53.9#Pcd: Ya está viejo, debe de tener novia	2
#0:09:56.8#Participante:  Sí verdad	2
#0:09:57.7#Pcd: ¿Tiene 50 años?	2
#0:10:00.1#Participante:  Pues por ay	2
#0:10:02.1#Pcd: O tiene 58	2
#0:10:04.9#Participante:  Casi, casi le atina	2
#0:10:07.2#Pcd: A tiene más!!!, tiene 70!!	2
#0:10:09.6#Participante: A lo mejor	2
#0:10:11.7#Uuu pos que viejo está ya	2
#0:10:13.4#Participante:  (Risa)	2
#0:10:14.9#Pcd: Nooo, no ya no se casó	2
#0:10:16.3#Participante: Síii ya nooo	2
#0:10:18.1#Pcd: Ya quedó	-
#0:10:19.7#Participante: Quedamos	-
#0:10:23.0#Pcd: A lo mejor encuentra su media naranja	-
#0:10:25.9#Participante: Sí verdad	-
#0:10:30.2#Pcd: ¿Y porque nadamás dice si verda, no verda?	-
#0:10:33.8#Participante: Incom prensible	-
#0:10:35.3#Pcd: Sí verdad, no verdad	-
#0:10:37.4#Participante:Sí pues sí	-
#0:10:38.9#Pcd: A pues nooo	-
#0:10:40.3#Participante:¿Nooooo?	-
#0:10:40.9#Pcd:No	-
#0:10:42.9#Participante: Bueno noo	-
#0:10:46.9#Pcd: Complete esa palabra	1
#0:10:48.8#Participante: Pero que, que es lo que me	1
#0:10:50.4#Pcd: Pues uste completela, uste debe de saber 	1
#0:10:55.5#Participante: Que tengo  que saber (incomprensible)	1
#0:10:56.8#Pcd: Que le voy a escribir 	1
#0:10:59.2#Participante: Es que no me dijo	1
#0:11:01.8#Pcd: ¿Y por qué le tengo que decir yo?	1
#0:11:03.8#Participante: Pue para saber como (incomprensible)	1
#0:11:05.3#Pcd: Noooo, pues uste la tiene que completar, yo noo	1
#0:11:08.8#Participante: (Incomprensible)escribir un nombre o que??	1
#0:11:11.0#Pcd: Noooo	1
#0:11:16.3#Pcd: Nooo, no hay la letra que busco	1
#0:11:18.2#Participante: ¿Cuál es la letra que busca?	1
#0:11:20.2#Pcd:  Una "B"	1
#0:11:22.9#Participante:Ahí está	1
#0:11:24.2#Pcd: ÉSta aquí,  a ver	1
#0:11:35.9#Pcd:¿ Uste sabe dónde fue mi mamá?	3
#0:11:39.5#Participante:Nooooo	3
#0:11:40.6#Pcd: Háblele Antonio, corra	3
#0:11:45.0#Pcd:Antonio es un muchacho bien guapo	3
#0:11:54.3#Pcd:Es joven	3
#0:11:56.9#Participante: Aaaaaaa	3
#0:11:59.2#Participante: Es joven??, Antonio?	3
#0:12:00.2#Pcd: Sí, sí	2
#0:12:01.6#Participante: Pcd: Aaaa	2
#0:12:02.4#Pcd: Tiene 20 años	2
#0:12:04.9#Pcd: Es más uste está más viejo que él	2
#0:12:07.9#Participante:¿Sí? (Incomprensible)	2
#0:12:12.0#Pcd: ¿Maduro?	2
#0:12:13.5#Participante:Sí	2
#0:12:14.3#Pcd: Noo, ya se le, ya se le pasó el tren a uste	2
#0:12:16.9#Participante:Sí pues sí, es que pasan muy rápido el tren	2
#0:12:24.3#Pcd: Ya no quiero jugar	1
#0:12:26.1#Participante:Pero como!!!	1
#0:12:27.0#Pcd: Ya no, ya hice muchas	1
#0:12:28.9#Participante:Nada hasta que se acaben todas	1
#0:12:29.4#Pcd:  Y uste no hizo ni una	1
#0:12:32.7#ParticipanteSí, si hice	1
#0:12:33.6#Pcd: Noo, no ya no quiero jugar	1
#0:12:35.9#Pcd: Yo ya me voy a ver a mi mamá	3
#0:12:37.8#Participante: Nooo, no se valla	3
#0:12:39.4#Pcd:Mamá!!!!, ¿Dónde estas?	3
#0:12:40.7#Participante: Forme otra  palabra	3
#0:12:46.7#Pcd:Chismoso!!	3
#0:12:48.5#Participante: A ver, chismoso (incomprensible)	3
#0:12:51.8#Pcd:Nooo, uste porque no me quiere decir dónde está Antonio	3
#0:12:57.4#Participante: Pero los chismosos si dicen dónde están, noo!!!	3
#0:12:59.3#Pcd:Sí pero uste no dice	2
#0:13:00.9#Participante: Entonces yo no soy chismoso	2
#0:13:03.5#Pcd: Entonces es chistoso	2
#0:13:05.6#Participante:Aa (risa) a lo mejor	2
#0:13:06.5#Porque nomás dice, sí, no	2
#0:13:10.8#Pcd: ¿Dónde está mi mamá?, Antonio!!!	3
#0:13:14.8#Participante:Incomprensible	3
#0:13:15.0#Lipita, se fue, y no me dió la medecina	3
#0:13:19.3#Pcd: ??????  lupita se fue?	3
#0:13:24.1#Investigador:2: Noo ella noo,la va esperar  usted sígale	3
#0:13:28.6#Pcd: ¿A qué le sigo?	1
#0:13:30.4#Participante: A formar palabras (incomprensible)	1
#0:13:49.6#Pcd: Le voy a pegar los piojos, tengo muchos piojos	2
#0:13:54.5#Participante:Pero a mí no se me pegan 	2
#0:13:55.8#Pcd: Uyyy si , se van ir entre las barajas mire, ahí eshe dos	2
#0:14:02.6#Participante: Híjoles, pero tiene que formar unas palabras (incomprensible)	2
#0:14:09.3#Pcd: Noooo, se van air para allá pa su cabeza y pa va estra hirviendo de piojos, así, así, así	2
#0:14:21.8#Pcd: Muchos piojos va tener para mañana	2
#0:14:26.8#Pcd: Y le van a decir en  la escuela piojoso	2
#0:14:28.9#Ujjjjjjjjj!!! (Se admira)	2
#0:14:31.4#Participante:Mis amigos	2
#0:14:32.9#Pcd: Sí	2
#0:14:35.3#Pcd: ¿Tiene amigos?	2
#0:14:36.7#Participante:Sí	2
#0:14:38.0#Pcd:¿Y paque le sirve?	2
#0:14:41.3#Participante: Para que me digan piojoso yo creo (risa)	2
#0:14:46.4#Participante:  Si no quien me va decir	2
#0:14:47.4#Pcd: Ya,ya 	1
#0:14:48.3#Participante: Ahora, ahora 	1
#0:14:49.0#Pcd: Ya me cansé	1
#0:14:50.4#Ahora vamos hacer, hay muchas letras todavía	1
#0:14:55.3#Pcd: Ya me cansé y ya no quiero jugar	1
#0:14:57.9#Pcd: Búsqueme Antonio porque me están picando los piojos  y dígale que traiga la medecina	1
#0:15:09.6#Participante:¿Dónde está Antonio?	1
#0:15:12.1#Participante: No se	1
#0:15:12.3#Pcd: O Lupita	1
#0:15:15.6#Pcd:  Es más eso ya nom quiero jugar,ya hice muchas letras y uste no ha hecho ninguna	1
#0:15:21.2#Participante: Yo sí hice, ¿seguía  usted?	1
#0:15:27.4#Participante: Le hice más	1
#0:15:27.7#Pcd: Mmmm noo 	1
#0:15:32.6#Pcd: Cómase esa 	2
#0:15:33.9#Participante: Ésta!!! (Recibe una galleta de la  pcd),	2
#0:15:33.6#Participante: ¿Ésta?	2
#0:15:34.4#Pcd: Sí	2
#0:15:35.4#Participante:¿Me la como?	2
#0:15:36.8# Pcd: Sí, cómaselo	2
#0:15:38.9#Participante:  Pero fórmeme una palabra, ¿nooo?	1
#0:15:40.8#Pcd: Noooo, hasta que no acabe	1
#0:15:45.1#Participante: Hasta queno  acabe ¿qué?	1
#0:15:47.6#La galleta!!!!!	1
#0:15:47.6#Participante: ¿Yo?	1
#0:15:48.2#Pcd: Ummmjuuu	1
#0:15:50.1#Pcd: Si no se come la galleta yo no hago nada	1
#0:15:52.6#Participante: Bueno (Se come la galleta)	1
#0:15:55.8#Pcd:Porque tiene, trae cara de  que no comió, no comió verdad	2
#0:15:59.2#Participante: Síiii	2
#0:15:59.7#Pcd: Ahorita le digo a lupita que nos traiga comida	2
#0:16:02.1#Participante: (Risa), pero primero intente más palabras nooo	2
#0:16:05.4#Pcd: Noooo	2
#0:16:07.4#Participante: ¿Por qué noooo?	2
#0:16:10.9#Pcd: Sss porque  estoy comiendo galletas 	2
#0:16:12.9#Participante: Aaaaa	2
#0:16:14.4#Pero con la otra mano  pues	2
#0:16:16.4#Pcd: ¿Eeeee?	2
#0:16:17.3#Participante:Con la otra mano	2
#0:16:17.7#Pcd: Nooo porque nomás con una mano puedo	2
#0:16:20.4#Participante: Aaa, ¿qué tiene la otra mano?	2
#0:16:23.1#Pcd: Nada, pero no quiero	-
#0:16:24.9#Participante: (Risa), Bueno (incomprensible)	2
#0:16:37.5#Pcd: Onde está, ¿dónde está Antonio?	2
#0:16:45.0#Participante: A lo mejor por ahí (incomprensible)	2
#0:16:46.4#Pcd: ¿Y lupita pa dónde se fue?	2
#0:17:00.9#Pcd:  Ya nomás voy hacer ésta palabra	2
#0:17:04.0#Participante:Pero como!!! (incomprensible)	2
#0:17:05.3#Pcd: Ya nomás porque ya me quiero ir	3
#0:17:08.1#Participante: Pero....	3
#0:17:08.1#Pcd: Ya me quiero ir	3
#0:17:10.2#Pcd: ¿Uste no sabe de me quiero ir?	3
#0:17:12.8#Participante: (Mueve la cabeza en señal de no saber)	2
#0:17:14.1#No ves que hoy es martes, tengo que ir al cine , tengo que ir a bailar, 	2
#0:17:19.1#Participante:Aaaa	2
#0:17:20.5#Pcd: Yaa, me va compañar 	2
#0:17:22.8#Pcd: ¿Cómo se llama?	2
#0:17:24.6#Pcd: Yo no lo conozco, pero ¿cómo se llama?	2
#0:17:30.2#Participante:Aaa por ahí  lo dice	2
#0:17:31.9#Pcd: Noo aquí no dice	2
#0:17:32.4#Participante: Agarre  uniendo palabras y recuerde como se llame 	1
#0:17:34.7#Pcd: Nooo no dice aquí	1
#0:17:36.7#Participante: ¿Segura?	1
#0:17:36.9#Noo	1
#0:17:39.2#Participante:A lo mejor y sí (incomprensible)	1
#0:17:59.5#Pcd:Mamá, ¿dónde estas?	3
#0:18:02.6#Pcd:¿En dónde está mi mamá?	3
#0:18:05.3#Participante:Yo no se	3
#0:18:06.8#Pcd: Que le digo	3
#0:18:08.3#Participante: ¿A quién?	3
#0:18:09.4#Pcd:Uste no sabe nada y yo sí se	3
#0:18:11.4#Participante: (Risa)	2
#0:18:13.1#Participante:Ayyyy, sí,  no se mucho	2
#0:18:17.5#Pcd: Cómo que no sabe mucho!!!	2
#0:18:20.5#Participante:Pues 	2
#0:18:20.7#Quiero que me diga  en dónde fue mi mamá	2
#0:18:23.3#Participante:A es que (icomprensible)	2
#0:18:27.7#Pcd: Pos que malo que no sepa	2
#0:18:30.7#Participante: Pregunteme ahora	2
#0:18:32.2#Pcd: Eeee?	2
#0:18:32.9#Participante: Pregunteme ahora	2
#0:18:35.2#Pcd: ¿Antonio dónde está?	2
#0:18:36.7#Participante: Esa tampoco me la se	2
#0:18:39.2#Pcd: que malo que no sepa dónde está Antonio	3
#0:18:42.3#Pcd: Antonio ven por mí!!	3
#0:18:45.3#Pcd: Ya no quiero jugar	3
#0:18:47.2#Pcd: Aquí hay muchos animales que pican, mire ya me picó otro	3
#0:18:51.1#Participante:¿Así?	3
#0:18:52.8#Pcd:Sí, mire ya me picó aquí uno, y luego acá me picó un piojo	3
#0:18:59.8#Participante: Hay que terminar hacer palabras (incomprensible)	3
#0:19:06.2# Pcd: ¿Y ya nos vamos?, ésta palabra y ya nos vamos!!	3
#0:19:09.5#Participante: Noooo, todavía quedan muchas letras	3
#0:19:11.3#Pcd:Nooo, noooo	1
#0:19:13.0#Pcd: Esa uste le toca hacer las demás  porque yo ya no voy hacer nada 	1
#0:19:16.9#Participante:Pero por qué no?,  vamos a terminar de jugar	1
#0:19:18.1#Pcd: Nooo porque  ya me cansé	1
#0:19:20.3#Participante:Pero es que (incomprensible)	1
#0:19:20.6#Pcd: ya le hice muchas mire, tres, seis, siete, ocho, diez palbras le hecho y uste no ha hecho ni una 	1
#0:19:28.3#Pcd:Son diez	1
#0:19:34.5#Participante: Incomprensible, (Cuenta sus dedos )	1
#0:19:34.5#Pcd: ¿Tiene que contar con los  dedos?, que no aprende mí que no cuento con los dedos 	1
#0:19:39.8#Participante: Es que como pos son diez, dije uno por cada dedo, así me aseguro	1
#0:19:45.3#Pcd: Diez palabras.	1
#0:19:47.9#Participante: Sí  pero todavía falta 	1
#0:19:49.1#Pcd: A ver haga uste una para ver si la sabe hacer 	1
#0:19:52.9#Participante: Pues a  ver vamos a ver	1
#0:19:55.5#Participante: Está la "B", una "U"	1
#0:19:59.5#Pcd: ¿Burro?	1
#0:20:00.9#Participante: Aaaaaaa!!, pudiera ser, yo había pensando en otra	1
#0:20:09.5#Participante: Tieneee (incomprensible)	1
#0:20:12.5#Pcd: Ve uste batalla para hallarla	1
#0:20:15.6#Participante: Pero pues es que  está (incomprensible)	1
#0:20:18.7#Pcd:Ve, y quiere que yo las haga rápido!!, nooo	1
#0:20:21.9#Participante: Nooo, tómese su tiempo	1
#0:20:24.1#Pcd: Nooo, porque ya me quiero ir 	2
#0:20:24.4#Participante: Aquí está 	2
#0:20:26.5#Participante: Es que, es que como usted las (incomprensible)	2
#0:20:31.5#Pcd: ¿Qué es eso?	2
#0:20:32.9#Participante: Es búho,es  un pájaro	2
#0:20:35.9#Pcd: ¿Y canta? 	2
#0:20:38.4#Participante:Sí, en la noche	2
#0:20:40.0#Pcd: ¿Y porque nomás en la noche?, debe de cantar en el día	2
#0:20:43.1#Porque es un ave  de noche	2
#0:20:45.6#Aaa que feo animal, no, no me gusta 	2
#0:20:48.3#Participante:Aaa, ese nooo, ahora, ahora le toca usted hacer otra	2
#0:20:52.2#Pcd: Nooo, a uste, pero otro que sí cante en el día	2
#0:20:56.2#Participante:  A pos es que no me se el nombre de los pajaritos, nomás me se de ese	2
#0:20:59.3#Participante: Hay gorreones, sinzontle	2
#0:21:02.8#Participante: Haga uno	2
#0:21:03.3#Pcd:Hay canarios	2
#0:21:04.9#Participante: ¿Cómo se escribe eso?	2
#0:21:06.4#pcd: Pos con las manos 	2
#0:21:09.3#Pcd: ¿No tiene manos?	2
#0:21:11.3#Participante: Pero, pero, estan (incomprensible)	2
#0:21:16.5#Pcd: Como que está ocupado, pues desocúpese	2
#0:21:19.7#Participante: MMmmmm	2
#0:21:21.6#Pcd: Ándele si no yo empiezo a gritar 	3
#0:21:24.1# Nooo, no grite (incomprensible)	3
#0:21:25.6#Pcd: Ya me quiero ir	3
#0:21:27.1# Incomprensible	3
#0:21:27.4#Pcd: Ya me quiero ir, yo ya me voy	3
#0:21:29.1#Participante: Pero estamos jugando primero lugo se va	3
#0:21:32.1# Pcd: ¿Pues con ellos?	3
#0:21:34.6#Participante:  Que no quiere jugar conmigo	3
#0:21:40.4#Pcd: Zzzzz	1
#0:21:44.5#Pcd: Hay muchas "SSS"	1
#0:21:47.3#Participante:Sí	1
#0:21:52.7#Pcd: ay ¿ quién se peyó?	1
#0:21:56.2#Pcd:  Uste fue	1
#0:21:57.3#Participante: (Risa)	1
#0:21:59.4#Pcd: Uste se peyó	1
#0:21:59.7#Participante:  Nooo,  yo no	1
#0:22:01.1#Pcd: Sí, se oyó que hizo Buffffff	1
#0:22:04.1#Participante: Risa	1
#0:22:10.6#Pcd: Bueno ya hice otra le toca  a uste	1
#0:22:15.6#Participante:¿A mí  otra vez?	1
#0:22:16.6# Pcd: sí, si no  lo pongo a bailar 	1
#0:22:18.9#Participante: Nooooooo pero poss	1
#0:22:19.7#Pcd: Lo pongo a que baile así aquí	1
#0:22:21.9#Participante: Tadavía nooo...	1
#0:22:22.3#Pcd: Porque no se nejan ellos?, bailamos así (mueve los pies sentada)	1
#0:22:24.9#Participante: Todavía faltan más palabras y aquí todavía hay más 	1
#0:22:27.6#Pcd:  Ya me quiero ir, ya me quiero ir, que no sabe de ir 	3
#0:22:32.4#Participante: ¿Cómo se escribe?	3
#0:22:34.1#Pcd: Pues me quiero ir	3
#0:22:36.2#Participante: vAaaaa	3
#0:22:38.3#Pcd: Es más ya no quiero jugar éstas cartas, están feas	1
#0:22:42.2#Participante: ¿Por qué estan  feas?	1
#0:22:43.8# Pcd: Se las voy a tirar	2
